Equipo,Ciudad,Entrenador,Capitan,Estadio,Aforo,Estadio alternativo14​,Proveedor,Patrocinador principal,Limite salarial
Athletic de Bilbao, Bilbao, Marcelino Garcia16​, Iker Muniain,San Mames,53 289,Sanchez Pizjuan, New Balance17​, Kutxabank18​,"119,819"
Atletico de Madrid, Madrid, Diego Simeone19​, Koke,Wanda Metropolitano,68 456,Reale Arena, Nike, Plus500,"252,720"
Barcelona, Barcelona, Ronald Koeman20​, Lionel Messi,Camp Nou,99 354,Son Moix, Nike21​, Rakuten22​,"382,717"
Real Betis, Sevilla, Manuel Pellegrini23​, Joaquin,Benito Villamarin,60 721,Ciutat de Valencia, Kappa24​, Betway,"71,304"
Cadiz, Cadiz, alvaro Cervera25​, Jose Mari,Ramon de Carranza,20 724,Carlos Belmonte, Adidas, Dafabet,"41,028"
Celta de Vigo, Vigo, Eduardo Coudet26​, Hugo Mallo,Abanca-Balaidos,29 000,Jose Zorrilla, Adidas," Estrella Galicia 0,027​","62,518"
Deportivo Alaves, Vitoria, Javi Calleja28​, Manu Garcia,Mendizorroza,19 840,El Sadar, Kelme, Betway,"42,028"
SD Eibar, eibar, Jose Luis Mendilibar29​, Sergi Enrich,Estadio Municipal de Ipurua,8164,Anduva, Joma, AVIA,"42,706"
Elche, Elche, Fran Escriba30​, Nino,Martinez Valero,33 732,Juegos Mediterraneos, Hummel, TM Grupo Inmobiliario,"34,600"
Getafe, Getafe, Jose Bordalas31​, Djene,Coliseum Alfonso Perez,17 000,La Romareda, Joma, Tecnocasa Group,"52,589"
Granada, Granada, Diego Martinez32​, Victor Diaz,Nuevo Los Carmenes,19 336,Estadio Butarque, Nike33​, Winamax34​,"56,483"
Huesca, Huesca, Pacheta35​, Jorge Pulido,El Alcoraz,7638,Montilivi, Kelme36​, Huesca La Magia,"37,057"
Levante, Valencia, Paco Lopez37​, Jose Luis Morales,Ciutat de València,26 354,Benito Villamarin, Macron38​, Betway39​,"37,613"
Osasuna, Pamplona, Jagoba Arrasate40​, Oier Sanjurjo,El Sadar,18 735,Mendizorroza, Adidas41​, Verleal,"46,638"
Real Madrid, Madrid, Zinedine Zidane42​, Sergio Ramos,Santiago Bernabeu,81 044,Jose Zorrilla, Adidas44​, Emirates45​,"468,529"
Real Sociedad, San Sebastian, Imanol Alguacil46​, Asier Illarramendi,Reale Arena,40 000,Wanda Metropolitano, Macron47​, IQONIQ,"100,876"
Sevilla, Sevilla, Julen Lopetegui48​, Jesus Navas,Ramon Sanchez Pizjuan,43 833,San Mames, Nike49​, Marathonbet50​,"185,809"
Valencia, Valencia, Voro51​, Jose Luis Gayà,Mestalla,55 000,Carlos Belmonte, Puma52​, bwin53​,"103,390"
Real Valladolid, Valladolid, Sergio Gonzalez54​, Javi Moyano,Jose Zorrilla,27 618,Alfredo di Stefano, Adidas55​," Estrella Galicia 0,0 56​","49,361"
Villarreal, Villarreal, Unai Emery57​, Mario Gaspar,Estadio de la Ceramica,23 500,RCDE Stadium, Joma, Pamesa Ceramica,"145,242"